Execution and Count Analysis for Batch ID: 81,
Asset Classes in this batch,
CR
Clients in the Batch
NOMURA
 Total Count in the Batch,
50306
Analyzing Data for :NOMURA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
CR,NOMURA,cdsIndex,,USD,128,ECR05,128
CR,NOMURA,cds,,EUR,18828,,0
CR,NOMURA,cdsIndex,,EUR,2961,,0
CR,NOMURA,cds,,JPY,3618,,0
CR,NOMURA,cds,,USD,2,ECOM06,2
CR,NOMURA,cdsIndex,,USD,1,ECOM06,1
CR,NOMURA,cdsSwaption,indices,EUR,369,,0
CR,NOMURA,cdsIndex,,EUR,2,WCR08,2
CR,NOMURA,cds,,MXN,1,,0
CR,NOMURA,cdsIndex,,USD,3395,,0
CR,NOMURA,cdsIndex,,EUR,1,ECOM06,1
CR,NOMURA,cdsSwaption,indices,USD,2,ECOM18,2
CR,NOMURA,cds,,USD,1,ECOM100,1
CR,NOMURA,cds,,USD,20281,,0
CR,NOMURA,cdsSwaption,indices,EUR,1,ECOM18,1
CR,NOMURA,cdsIndex,,JPY,618,,0
CR,NOMURA,cdsIndex,,USD,1,WCR08,1
CR,NOMURA,cds,,GBP,9,,0
CR,NOMURA,cdsSwaption,indices,USD,72,,0
CR,NOMURA,cdsIndex,,EUR,15,ECR05,15
