Execution and Count Analysis for Batch ID: 82,
Asset Classes in this batch,
IR
FX
Clients in the Batch
VPC019BKA
Westpac
POLSPRBKC
RVC043BKA
0912BKA
VPC110BKB
SENICEBA
0910BKA
0912BKB
VPC110BKA
POLSPRBKA
 Total Count in the Batch,
4111
Analyzing Data for :VPC019BKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,VPC019BKA,irsSwaption,fixedFloat,USD,5,,0
IR,VPC019BKA,irs,basisSwap,USD,1,EIR53,1
Analyzing Data for :Westpac,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
FX,Westpac,fxVanillaOption,fxVanillaOption,NZD,926,ECOM68;ECOM27;RCOM100,926
FX,Westpac,fxSwap,,USD,2,EFX13;EFX11;ECOM27;RCOM100,2
FX,Westpac,fxForward,fxForward,USD,1,ECOM100;EFX13;EFX11;WCOM60;ECOM27;RCOM100,1
FX,Westpac,fxExotic,barrier,EUR,2,ECOM49;ECOM68;ECOM35;ECOM27;RCOM100,2
FX,Westpac,fxExotic,barrier,USD,9,ECOM49;ECOM68;ECOM27;RCOM100,9
FX,Westpac,fxExotic,barrier,AUD,1,ECOM49;ECOM68;RCOM01;ECOM27;RCOM100,1
FX,Westpac,fxForward,fxForward,USD,4,EFX13;EFX11;WCOM60;ECOM27;RCOM100,4
FX,Westpac,fxExotic,barrier,AUD,376,ECOM49;ECOM68;ECOM27;RCOM100,376
FX,Westpac,fxExotic,barrier,NZD,51,ECOM49;ECOM68;ECOM27;RCOM100,51
FX,Westpac,fxVanillaOption,fxVanillaOption,XAU,10,ECOM68;ECOM27;RCOM100,10
FX,Westpac,fxExotic,other,USD,1,ECOM68;ECOM27;RCOM100,1
FX,Westpac,fxForward,fxForward,AUD,1,EFX13;EFX11;ECOM27;RCOM100,1
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,1909,ECOM68;ECOM27;RCOM100,1909
FX,Westpac,fxExotic,other,NZD,4,ECOM68;RCOM01;ECOM27;RCOM100,4
FX,Westpac,fxVanillaOption,fxVanillaOption,USD,36,ECOM68;WCOM60;ECOM27;RCOM100,36
FX,Westpac,fxExotic,asian,GBP,1,ECOM58;ECOM49;ECOM68;ECOM27;RCOM100,1
FX,Westpac,fxExotic,asian,AUD,7,ECOM58;ECOM49;ECOM68;RCOM01;ECOM27;RCOM100,7
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,2,ECOM68;RCOM01;ECOM27;RCOM100,2
FX,Westpac,fxExotic,barrier,USD,2,ECOM49;ECOM68;WCOM60;ECOM27;RCOM100,2
FX,Westpac,fxSwap,,EUR,5,EFX13;EFX11;ECOM27;RCOM100,5
FX,Westpac,fxSwap,,AUD,3,EFX13;EFX11;ECOM27;RCOM100,3
FX,Westpac,fxVanillaOption,fxVanillaOption,GBP,34,ECOM68;ECOM27;RCOM100,34
FX,Westpac,fxVanillaOption,fxVanillaOption,EUR,280,ECOM68;ECOM27;RCOM100,280
FX,Westpac,fxExotic,asian,XAU,6,ECOM58;ECOM49;ECOM68;ECOM27;RCOM100,6
FX,Westpac,fxExotic,barrier,NZD,1,ECOM49;ECOM68;ECOM35;ECOM27;RCOM100,1
FX,Westpac,fxExotic,other,AUD,194,ECOM68;ECOM27;RCOM100,194
FX,Westpac,fxVanillaOption,fxVanillaOption,USD,90,ECOM68;ECOM27;RCOM100,90
FX,Westpac,fxExotic,barrier,AUD,12,ECOM49;ECOM68;ECOM35;ECOM27;RCOM100,12
FX,Westpac,fxExotic,asian,AUD,38,ECOM58;ECOM49;ECOM68;ECOM27;RCOM100,38
FX,Westpac,fxExotic,other,NZD,13,ECOM68;ECOM27;RCOM100,13
FX,Westpac,fxExotic,barrier,USD,2,ECOM49;ECOM68;ECOM35;ECOM27;RCOM100,2
FX,Westpac,fxExotic,asian,USD,7,ECOM58;ECOM49;ECOM68;ECOM27;RCOM100,7
FX,Westpac,fxExotic,barrier,EUR,15,ECOM49;ECOM68;ECOM27;RCOM100,15
FX,Westpac,fxSwap,,CAD,1,EFX13;EFX11;ECOM27;RCOM100,1
Analyzing Data for :POLSPRBKC,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,POLSPRBKC,irs,fixedFloat,USD,1,,0
Analyzing Data for :RVC043BKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,RVC043BKA,irs,basisSwap,USD,2,,0
IR,RVC043BKA,irs,fixedFloat,USD,1,,0
Analyzing Data for :0912BKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,0912BKA,irsSwaption,fixedFloat,CAD,7,,0
IR,0912BKA,irs,fixedFloat,AUD,3,,0
IR,0912BKA,crossCurrency,fixedFloat,AUD,8,,0
IR,0912BKA,irs,ois,USD,8,,0
Analyzing Data for :VPC110BKB,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,VPC110BKB,irs,fixedFloat,AUD,2,RCOM01,2
Analyzing Data for :SENICEBA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,SENICEBA,irsSwaption,fixedFloat,USD,2,,0
Analyzing Data for :0910BKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,0910BKA,irs,fixedFloat,USD,10,,0
IR,0910BKA,irs,ois,USD,2,,0
IR,0910BKA,irsSwaption,fixedFloat,USD,1,,0
IR,0910BKA,crossCurrency,fixedFloat,USD,3,,0
Analyzing Data for :0912BKB,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,0912BKB,irsSwaption,fixedFloat,CAD,1,,0
Analyzing Data for :VPC110BKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,VPC110BKA,irs,fixedFloat,AUD,1,RCOM01,1
Analyzing Data for :POLSPRBKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,POLSPRBKA,irs,fixedFloat,EUR,3,,0
IR,POLSPRBKA,irs,fixedFloat,USD,4,,0
