Execution and Count Analysis for Batch ID: 90,
Asset Classes in this batch,
IR
FX
Clients in the Batch
VPC019BKA
Westpac
BATTSTBKA
 Total Count in the Batch,
25689
Analyzing Data for :VPC019BKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,VPC019BKA,irs,fixedFloat,USD,1,,0
Analyzing Data for :Westpac,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
FX,Westpac,fxForward,fxForward,USD,3532,WCOM60;RCOM100,3532
FX,Westpac,fxForward,fxForward,AUD,4,WCOM60;RCOM01;RCOM100,4
FX,Westpac,fxVanillaOption,fxVanillaOption,USD,274,ECOM68;WCOM60;RCOM100,274
FX,Westpac,fxExotic,asian,AUD,104,ECOM58;ECOM68;WCOM60;RCOM100,104
FX,Westpac,fxExotic,barrier,GBP,2,ECOM68;WCOM60;ECOM35;RCOM100,2
FX,Westpac,fxExotic,barrier,EUR,1,ECOM68;WCOM60;ECOM35;RCOM100,1
FX,Westpac,fxExotic,other,EUR,1,ECOM68;WCOM60;RCOM100,1
FX,Westpac,fxExotic,other,USD,1,ECOM68;WCOM60;RCOM100,1
FX,Westpac,fxSwap,,NZD,89,ECOM100;WCOM60;RCOM100,89
FX,Westpac,fxSwap,,NZD,641,WCOM60;RCOM100,641
FX,Westpac,fxSwap,,AUD,2422,WCOM60;RCOM100,2422
FX,Westpac,fxSwap,,XAU,7,ECOM100;WCOM60;RCOM100,7
FX,Westpac,fxSwap,,CHF,1,WCOM60;RCOM100,1
FX,Westpac,fxForward,fxForward,GBP,13,WCOM60;RCOM100,13
FX,Westpac,fxForward,fxForward,CHF,1,WCOM60;RCOM100,1
FX,Westpac,fxForward,fxForward,NZD,1,ECOM100;WCOM60;RCOM01;RCOM100,1
FX,Westpac,fxExotic,other,NZD,43,ECOM68;WCOM60;RCOM100,43
FX,Westpac,fxExotic,barrier,AUD,3,ECOM68;WCOM60;RCOM01;RCOM100,3
FX,Westpac,fxSwap,,GBP,87,ECOM100;WCOM60;RCOM100,87
FX,Westpac,fxSwap,,USD,790,ECOM100;WCOM60;RCOM100,790
FX,Westpac,fxSwap,,EUR,66,WCOM60;WCOM102;RCOM100,66
FX,Westpac,fxSwap,,AUD,265,ECOM100;WCOM60;RCOM100,265
FX,Westpac,fxSwap,,CAD,3,WCOM60;RCOM100,3
FX,Westpac,fxSwap,,NZD,2,WCOM60;WCOM102;RCOM100,2
FX,Westpac,fxForward,fxForward,USD,12,ECOM100;WCOM60;RCOM01;RCOM100,12
FX,Westpac,fxForward,fxForward,GBP,5,ECOM100;WCOM60;RCOM100,5
FX,Westpac,fxVanillaOption,fxVanillaOption,NZD,1726,ECOM68;WCOM60;RCOM100,1726
FX,Westpac,fxExotic,barrier,USD,3,ECOM49;ECOM68;WCOM60;ECOM35;RCOM100,3
FX,Westpac,fxSwap,,USD,6614,WCOM60;RCOM100,6614
FX,Westpac,fxSwap,,EUR,113,ECOM100;WCOM60;RCOM100,113
FX,Westpac,fxSwap,,USD,13,WCOM60;WCOM102;RCOM100,13
FX,Westpac,fxSwap,,GBP,19,WCOM60;WCOM102;RCOM100,19
FX,Westpac,fxForward,fxForward,NZD,70,WCOM60;RCOM100,70
FX,Westpac,fxForward,fxForward,AUD,91,ECOM100;WCOM60;RCOM100,91
FX,Westpac,fxForward,fxForward,AUD,305,WCOM60;RCOM100,305
FX,Westpac,fxForward,fxForward,USD,47,WCOM60;RCOM01;RCOM100,47
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,3368,ECOM68;WCOM60;RCOM100,3368
FX,Westpac,fxExotic,barrier,USD,11,ECOM68;WCOM60;RCOM100,11
FX,Westpac,fxExotic,asian,USD,6,ECOM58;ECOM68;WCOM60;RCOM100,6
FX,Westpac,fxSwap,,XAU,56,WCOM60;RCOM100,56
FX,Westpac,fxSwap,,AUD,12,ECOM100;WCOM60;WCOM102;RCOM100,12
FX,Westpac,fxSwap,,SGD,1,WCOM60;RCOM100,1
FX,Westpac,fxForward,fxForward,EUR,12,WCOM60;RCOM01;RCOM100,12
FX,Westpac,fxForward,fxForward,NZD,13,ECOM100;WCOM60;RCOM100,13
FX,Westpac,fxExotic,barrier,AUD,677,ECOM68;WCOM60;RCOM100,677
FX,Westpac,fxExotic,barrier,NZD,96,ECOM68;WCOM60;RCOM100,96
FX,Westpac,fxExotic,barrier,EUR,40,ECOM68;WCOM60;RCOM100,40
FX,Westpac,fxVanillaOption,fxVanillaOption,XAU,33,ECOM68;WCOM60;RCOM100,33
FX,Westpac,fxExotic,asian,EUR,15,ECOM58;ECOM68;WCOM60;RCOM100,15
FX,Westpac,fxExotic,barrier,AUD,24,ECOM49;ECOM68;WCOM60;RCOM100,24
FX,Westpac,fxExotic,barrier,EUR,1,ECOM49;ECOM68;WCOM60;RCOM100,1
FX,Westpac,fxExotic,barrier,NZD,1,ECOM68;WCOM60;ECOM35;RCOM100,1
FX,Westpac,fxExotic,asian,XAU,7,ECOM58;ECOM68;WCOM60;RCOM100,7
FX,Westpac,fxSwap,,GBP,830,WCOM60;RCOM100,830
FX,Westpac,fxSwap,,USD,3,ECOM100;WCOM60;RCOM01;RCOM100,3
FX,Westpac,fxForward,fxForward,EUR,32,WCOM60;RCOM100,32
FX,Westpac,fxForward,fxForward,SGD,5,WCOM60;RCOM100,5
FX,Westpac,fxForward,fxForward,EUR,5,ECOM100;WCOM60;RCOM100,5
FX,Westpac,fxForward,fxForward,CAD,2,WCOM60;RCOM100,2
FX,Westpac,fxExotic,other,AUD,390,ECOM68;WCOM60;RCOM100,390
FX,Westpac,fxExotic,barrier,AUD,14,ECOM49;ECOM68;WCOM60;ECOM35;RCOM100,14
FX,Westpac,fxSwap,,USD,2,ECOM100;WCOM60;WCOM102;RCOM100,2
FX,Westpac,fxForward,fxForward,USD,933,ECOM100;WCOM60;RCOM100,933
FX,Westpac,fxForward,fxForward,GBP,2,WCOM60;RCOM01;RCOM100,2
FX,Westpac,fxForward,fxForward,CAD,2,ECOM100;WCOM60;RCOM100,2
FX,Westpac,fxVanillaOption,fxVanillaOption,GBP,102,ECOM68;WCOM60;RCOM100,102
FX,Westpac,fxExotic,asian,GBP,14,ECOM58;ECOM68;WCOM60;RCOM100,14
FX,Westpac,fxExotic,barrier,AUD,1,ECOM49;ECOM68;WCOM60;RCOM01;ECOM35;RCOM100,1
FX,Westpac,fxSwap,,AUD,58,WCOM60;WCOM102;RCOM100,58
FX,Westpac,fxSwap,,EUR,11,ECOM100;WCOM60;WCOM102;RCOM100,11
FX,Westpac,fxSwap,,GBP,2,ECOM100;WCOM60;WCOM102;RCOM100,2
FX,Westpac,fxForward,fxForward,XAU,13,WCOM60;RCOM100,13
FX,Westpac,fxForward,fxForward,SGD,1,WCOM60;RCOM01;RCOM100,1
FX,Westpac,fxVanillaOption,fxVanillaOption,EUR,489,ECOM68;WCOM60;RCOM100,489
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,3,ECOM68;WCOM60;RCOM01;RCOM100,3
FX,Westpac,fxExotic,other,NZD,8,ECOM68;WCOM60;RCOM01;RCOM100,8
FX,Westpac,fxExotic,barrier,EUR,6,ECOM49;ECOM68;WCOM60;ECOM35;RCOM100,6
FX,Westpac,fxExotic,barrier,NZD,14,ECOM49;ECOM68;WCOM60;RCOM100,14
FX,Westpac,fxExotic,asian,AUD,6,ECOM58;ECOM68;WCOM60;RCOM01;RCOM100,6
FX,Westpac,fxSwap,,EUR,927,WCOM60;RCOM100,927
FX,Westpac,fxSwap,,USD,15,WCOM60;RCOM01;RCOM100,15
FX,Westpac,fxSwap,,NZD,1,ECOM100;WCOM60;WCOM102;RCOM100,1
Analyzing Data for :BATTSTBKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,BATTSTBKA,irForward,fra,USD,10,,0
IR,BATTSTBKA,irs,fixedFloat,IDR,10,RCOM01,10
IR,BATTSTBKA,irs,fixedFloat,AUD,1,,0
IR,BATTSTBKA,irs,ois,EUR,11,,0
IR,BATTSTBKA,crossCurrency,basisSwap,USD,11,,0
IR,BATTSTBKA,crossCurrency,fixedFloat,AUD,10,,0
