Execution and Count Analysis for Batch ID: 98,
Asset Classes in this batch,
IR
FX
Clients in the Batch
Westpac
SWROBOT01BKA
BATTSTBKA
POLSPRBKB
POLSPRBKA
 Total Count in the Batch,
30713
Analyzing Data for :Westpac,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
FX,Westpac,fxForward,fxForward,USD,5012,WCOM60;RCOM100,5012
FX,Westpac,fxForward,fxForward,AUD,4,WCOM60;RCOM01;RCOM100,4
FX,Westpac,fxVanillaOption,fxVanillaOption,USD,85,ECOM68;WCOM60;RCOM100,85
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,4,ECOM68;RCOM01;RCOM100,4
FX,Westpac,fxExotic,barrier,EUR,1,ECOM49;ECOM68;RCOM100,1
FX,Westpac,fxExotic,barrier,GBP,2,ECOM68;ECOM35;RCOM100,2
FX,Westpac,fxSwap,,AUD,64,WCOM60;RCOM100,64
FX,Westpac,fxSwap,,EUR,13,ECOM100;WCOM102;RCOM100,13
FX,Westpac,fxSwap,,GBP,89,ECOM100;RCOM100,89
FX,Westpac,fxSwap,,NZD,14,WCOM60;RCOM100,14
FX,Westpac,fxSwap,,NZD,4,ECOM100;WCOM60;RCOM100,4
FX,Westpac,fxSwap,,CHF,1,WCOM60;RCOM100,1
FX,Westpac,fxForward,fxForward,AUD,83,ECOM100;RCOM100,83
FX,Westpac,fxForward,fxForward,EUR,8,ECOM100;RCOM100,8
FX,Westpac,fxForward,fxForward,NZD,15,ECOM100;RCOM100,15
FX,Westpac,fxForward,fxForward,NZD,2,ECOM100;RCOM01;RCOM100,2
FX,Westpac,fxForward,fxForward,EUR,40,RCOM100,40
FX,Westpac,fxForward,fxForward,GBP,2,WCOM60;RCOM100,2
FX,Westpac,fxForward,fxForward,EUR,16,RCOM01;RCOM100,16
FX,Westpac,fxForward,fxForward,CHF,1,WCOM60;RCOM100,1
FX,Westpac,fxExotic,barrier,AUD,752,ECOM68;RCOM100,752
FX,Westpac,fxVanillaOption,fxVanillaOption,EUR,555,ECOM68;RCOM100,555
FX,Westpac,fxExotic,asian,GBP,14,ECOM58;ECOM68;RCOM100,14
FX,Westpac,fxExotic,asian,AUD,8,ECOM58;ECOM68;RCOM01;RCOM100,8
FX,Westpac,fxSwap,,USD,123,ECOM100;WCOM60;RCOM100,123
FX,Westpac,fxSwap,,USD,2,ECOM100;WCOM102;RCOM100,2
FX,Westpac,fxSwap,,SGD,4,RCOM100,4
FX,Westpac,fxForward,fxForward,USD,21,ECOM100;WCOM60;RCOM01;RCOM100,21
FX,Westpac,fxForward,fxForward,GBP,4,RCOM01;RCOM100,4
FX,Westpac,fxForward,fxForward,SGD,2,RCOM01;RCOM100,2
FX,Westpac,fxForward,fxForward,USD,2,ECOM100;RCOM01;RCOM100,2
FX,Westpac,fxForward,fxForward,GBP,1,ECOM100;WCOM60;RCOM100,1
FX,Westpac,fxVanillaOption,fxVanillaOption,GBP,107,ECOM68;RCOM100,107
FX,Westpac,fxExotic,barrier,USD,1,ECOM49;ECOM68;WCOM60;ECOM35;RCOM100,1
FX,Westpac,fxExotic,asian,USD,8,ECOM58;ECOM68;RCOM100,8
FX,Westpac,fxExotic,barrier,AUD,14,ECOM49;ECOM68;ECOM35;RCOM100,14
FX,Westpac,fxExotic,other,EUR,1,ECOM68;RCOM100,1
FX,Westpac,fxSwap,,USD,976,WCOM60;RCOM100,976
FX,Westpac,fxSwap,,NZD,90,ECOM100;RCOM100,90
FX,Westpac,fxForward,fxForward,USD,7,ECOM100;RCOM100,7
FX,Westpac,fxForward,fxForward,XAU,22,RCOM100,22
FX,Westpac,fxForward,fxForward,USD,52,WCOM60;RCOM01;RCOM100,52
FX,Westpac,fxForward,fxForward,AUD,120,WCOM60;RCOM100,120
FX,Westpac,fxForward,fxForward,NZD,46,WCOM60;RCOM100,46
FX,Westpac,fxForward,fxForward,GBP,15,RCOM100,15
FX,Westpac,fxForward,fxForward,AUD,38,ECOM100;WCOM60;RCOM100,38
FX,Westpac,fxForward,fxForward,GBP,9,ECOM100;RCOM100,9
FX,Westpac,fxForward,fxForward,SGD,1,RCOM100,1
FX,Westpac,fxVanillaOption,fxVanillaOption,NZD,1865,ECOM68;RCOM100,1865
FX,Westpac,fxExotic,other,AUD,413,ECOM68;RCOM100,413
FX,Westpac,fxExotic,asian,AUD,105,ECOM58;ECOM68;RCOM100,105
FX,Westpac,fxExotic,asian,EUR,15,ECOM58;ECOM68;RCOM100,15
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,14,ECOM68;WCOM60;RCOM100,14
FX,Westpac,fxExotic,barrier,USD,2,ECOM68;WCOM60;RCOM100,2
FX,Westpac,fxSwap,,XAU,7,ECOM100;RCOM100,7
FX,Westpac,fxSwap,,NZD,1,ECOM100;WCOM102;RCOM100,1
FX,Westpac,fxForward,fxForward,AUD,315,RCOM100,315
FX,Westpac,fxForward,fxForward,NZD,5,ECOM100;WCOM60;RCOM100,5
FX,Westpac,fxVanillaOption,fxVanillaOption,USD,204,ECOM68;RCOM100,204
FX,Westpac,fxExotic,barrier,AUD,4,ECOM68;RCOM01;RCOM100,4
FX,Westpac,fxExotic,barrier,NZD,2,ECOM68;ECOM35;RCOM100,2
FX,Westpac,fxExotic,barrier,EUR,1,ECOM68;ECOM35;RCOM100,1
FX,Westpac,fxSwap,,USD,745,ECOM100;RCOM100,745
FX,Westpac,fxSwap,,EUR,77,WCOM102;RCOM100,77
FX,Westpac,fxSwap,,AUD,60,WCOM102;RCOM100,60
FX,Westpac,fxSwap,,GBP,8,WCOM60;RCOM100,8
FX,Westpac,fxSwap,,USD,3,ECOM100;WCOM60;RCOM01;RCOM100,3
FX,Westpac,fxSwap,,USD,1,RCOM01;RCOM100,1
FX,Westpac,fxForward,fxForward,AUD,4,RCOM01;RCOM100,4
FX,Westpac,fxForward,fxForward,CAD,3,WCOM60;RCOM100,3
FX,Westpac,fxForward,fxForward,SGD,7,WCOM60;RCOM100,7
FX,Westpac,fxForward,fxForward,EUR,2,ECOM100;WCOM60;RCOM100,2
FX,Westpac,fxForward,fxForward,EUR,4,WCOM60;RCOM100,4
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,3657,ECOM68;RCOM100,3657
FX,Westpac,fxExotic,other,NZD,45,ECOM68;RCOM100,45
FX,Westpac,fxExotic,barrier,USD,12,ECOM68;RCOM100,12
FX,Westpac,fxVanillaOption,fxVanillaOption,XAU,35,ECOM68;RCOM100,35
FX,Westpac,fxExotic,barrier,USD,3,ECOM49;ECOM68;ECOM35;RCOM100,3
FX,Westpac,fxExotic,barrier,AUD,39,ECOM49;ECOM68;RCOM100,39
FX,Westpac,fxExotic,barrier,EUR,6,ECOM49;ECOM68;ECOM35;RCOM100,6
FX,Westpac,fxSwap,,GBP,1111,RCOM100,1111
FX,Westpac,fxSwap,,AUD,2883,RCOM100,2883
FX,Westpac,fxSwap,,USD,13,WCOM102;RCOM100,13
FX,Westpac,fxSwap,,CAD,37,RCOM100,37
FX,Westpac,fxSwap,,NZD,2,WCOM102;RCOM100,2
FX,Westpac,fxSwap,,HKD,3,RCOM100,3
FX,Westpac,fxForward,fxForward,USD,1321,ECOM100;WCOM60;RCOM100,1321
FX,Westpac,fxForward,fxForward,NZD,51,RCOM100,51
FX,Westpac,fxForward,fxForward,CAD,3,ECOM100;WCOM60;RCOM100,3
FX,Westpac,fxExotic,barrier,EUR,42,ECOM68;RCOM100,42
FX,Westpac,fxExotic,other,NZD,8,ECOM68;RCOM01;RCOM100,8
FX,Westpac,fxExotic,barrier,NZD,14,ECOM49;ECOM68;RCOM100,14
FX,Westpac,fxExotic,barrier,AUD,1,ECOM49;ECOM68;RCOM01;ECOM35;RCOM100,1
FX,Westpac,fxExotic,asian,XAU,9,ECOM58;ECOM68;RCOM100,9
FX,Westpac,fxSwap,,USD,6351,RCOM100,6351
FX,Westpac,fxSwap,,NZD,801,RCOM100,801
FX,Westpac,fxSwap,,EUR,1252,RCOM100,1252
FX,Westpac,fxSwap,,AUD,289,ECOM100;RCOM100,289
FX,Westpac,fxSwap,,EUR,119,ECOM100;RCOM100,119
FX,Westpac,fxSwap,,XAU,57,RCOM100,57
FX,Westpac,fxForward,fxForward,USD,19,RCOM100,19
FX,Westpac,fxForward,fxForward,USD,13,RCOM01;RCOM100,13
FX,Westpac,fxExotic,barrier,NZD,97,ECOM68;RCOM100,97
FX,Westpac,fxExotic,other,USD,1,ECOM68;RCOM100,1
FX,Westpac,fxExotic,barrier,AUD,1,ECOM68;ECOM35;RCOM100,1
FX,Westpac,fxSwap,,GBP,20,WCOM102;RCOM100,20
FX,Westpac,fxSwap,,AUD,12,ECOM100;WCOM102;RCOM100,12
FX,Westpac,fxSwap,,USD,14,WCOM60;RCOM01;RCOM100,14
FX,Westpac,fxSwap,,GBP,2,ECOM100;WCOM102;RCOM100,2
FX,Westpac,fxSwap,,EUR,5,WCOM60;RCOM100,5
FX,Westpac,fxSwap,,CHF,3,RCOM100,3
Analyzing Data for :SWROBOT01BKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,SWROBOT01BKA,irs,fixedFloat,AUD,1,,0
Analyzing Data for :BATTSTBKA,
